time,sentiment,closing price,highest price,lowest price,opening price,before closing,change,quote change,turnover rate,turnover volume,turnover,total market capitalization,circulation market value
2015-1-5,1.073020543999999,16.02,16.28,15.6,15.99,15.84,1.0,1.1364,2.9079,286043643.0,4565387846.0,183000000000.0,158000000000.0
2015-1-6,-2.3198419480000005,15.78,16.39,15.55,15.85,16.02,0.0,-1.4981,2.2024,216642140.0,3453446168.0,180000000000.0,155000000000.0
2015-1-7,-1.4141046459999997,15.48,15.83,15.3,15.56,15.78,0.0,-1.9011,1.7283,170012067.0,2634796409.0,177000000000.0,152000000000.0
2015-1-8,-1.3654512760000004,14.96,15.57,14.9,15.5,15.48,0.0,-3.3592,1.4311,140771421.0,2128003432.0,171000000000.0,147000000000.0
2015-1-9,-1.02539025,15.08,15.87,14.71,14.9,14.96,1.0,0.8021,2.5501,250850023.0,3835378100.0,172000000000.0,148000000000.0
2015-1-12,-0.6536438980000004,14.77,15.05,14.5,14.87,15.08,0.0,-2.0557,1.5791,155329086.0,2293104602.0,169000000000.0,145000000000.0
2015-1-13,-0.08741597400000084,14.68,14.9,14.61,14.65,14.77,0.0,-0.6093,0.8304,81687477.0,1204987149.0,168000000000.0,144000000000.0
2015-1-14,0.9538783299999976,14.81,15.2,14.7,14.78,14.68,1.0,0.8856,1.284,126302964.0,1889296679.0,169000000000.0,146000000000.0
2015-1-15,-1.3302378960000008,15.35,15.35,14.71,14.85,14.81,1.0,3.6462,1.2628,124217032.0,1868795910.0,175000000000.0,151000000000.0
2015-1-16,-3.275741282,15.37,15.62,15.18,15.4,15.35,1.0,0.1303,1.5817,155584633.0,2403346195.0,176000000000.0,151000000000.0
2015-1-19,-1.107949252,13.83,14.57,13.83,14.01,15.37,0.0,-10.0195,2.1726,213712366.0,3016203087.0,158000000000.0,136000000000.0
2015-1-20,-0.4960976860000006,13.83,14.06,13.56,13.83,13.83,0.0,0.0,1.5158,149101811.0,2064280555.0,158000000000.0,136000000000.0
2015-1-21,1.264666813999999,14.42,14.6,13.75,13.88,13.83,1.0,4.2661,1.9727,194053037.0,2758192757.0,165000000000.0,142000000000.0
2015-1-22,-1.774158378,14.3,14.52,14.16,14.34,14.42,0.0,-0.8322,1.2758,125501611.0,1801436255.0,163000000000.0,141000000000.0
2015-1-23,-1.6427160219999997,14.4,14.63,14.3,14.36,14.3,1.0,0.6993,1.4834,145918192.0,2108746796.0,165000000000.0,142000000000.0
2015-1-26,0.4422088219999989,14.34,14.44,14.16,14.36,14.4,0.0,-0.4167,1.0752,105760580.0,1508446593.0,164000000000.0,141000000000.0
2015-1-27,-0.3934953300000005,13.99,14.37,13.83,14.35,14.34,0.0,-2.4407,1.3617,133949466.0,1881058965.0,160000000000.0,138000000000.0
2015-1-28,0.7055372899999984,14.06,14.3,13.8,13.87,13.99,1.0,0.5004,1.2615,124087755.0,1742175736.0,161000000000.0,138000000000.0
2015-1-29,-2.5868833700000007,13.9,14.01,13.75,13.82,14.06,0.0,-1.138,1.0336,101675329.0,1408825356.0,159000000000.0,137000000000.0
2015-1-30,-0.5519851860000001,13.93,14.12,13.76,13.93,13.9,1.0,0.2158,0.9456,93011669.0,1298735719.0,159000000000.0,137000000000.0
2015-2-2,0.6300882959999988,13.63,13.8,13.55,13.6,13.93,0.0,-2.1536,0.8752,86093216.0,1176949560.0,156000000000.0,134000000000.0
2015-2-3,-2.063208524,13.95,13.99,13.62,13.78,13.63,1.0,2.3478,0.898,88334914.0,1217876590.0,159000000000.0,137000000000.0
2015-2-4,1.6126394739999976,13.71,14.04,13.7,14.0,13.95,0.0,-1.7204,0.821,80762311.0,1122666755.0,157000000000.0,135000000000.0
2015-2-5,0.7196356799999989,13.79,14.43,13.76,14.3,13.71,1.0,0.5835,1.9455,191372916.0,2710523886.0,158000000000.0,136000000000.0
2015-2-6,0.4423002559999996,13.51,13.95,13.4,13.69,13.79,0.0,-2.0305,1.0475,103040856.0,1411298590.0,154000000000.0,133000000000.0
2015-2-9,-3.1132081000000005,13.52,13.68,13.22,13.5,13.51,1.0,0.07400000000000001,0.9623,94658628.0,1273141160.0,154000000000.0,133000000000.0
2015-2-10,-0.6516379760000003,13.77,13.82,13.42,13.49,13.52,1.0,1.8491,0.7369,72487537.0,991823743.8,157000000000.0,135000000000.0
