time,confidence,negative_prob,positive_prob,sentiment,stock,closing price,highest price,lowest price,opening price,before closing,change,quote change,turnover rate,turnover volume,turnover,total market capitalization,circulation market value
2015-1-5,0.678323,0.144755,0.855245,1.073020543999999,1.0,16.02,16.28,15.6,15.99,15.84,0.18,1.1364,2.9079,286043643.0,4565387846.0,183000000000.0,158000000000.0
2015-1-6,0.018897900000000002,0.558504,0.441496,-2.3198419480000005,1.0,15.78,16.39,15.55,15.85,16.02,-0.24,-1.4981,2.2024,216642140.0,3453446168.0,180000000000.0,155000000000.0
2015-1-7,0.943163,0.0255765,0.974424,-1.4141046459999997,1.0,15.48,15.83,15.3,15.56,15.78,-0.3,-1.9011,1.7283,170012067.0,2634796409.0,177000000000.0,152000000000.0
2015-1-8,0.5187890000000001,0.216545,0.783455,-1.3654512760000004,1.0,14.96,15.57,14.9,15.5,15.48,-0.52,-3.3592,1.4311,140771421.0,2128003432.0,171000000000.0,147000000000.0
2015-1-9,0.975757,0.010909299999999999,0.9890909999999999,-1.02539025,1.0,15.08,15.87,14.71,14.9,14.96,0.12,0.8021,2.5501,250850023.0,3835378100.0,172000000000.0,148000000000.0
2015-1-12,0.609066,0.17592,0.8240799999999999,-0.6536438980000004,1.0,14.77,15.05,14.5,14.87,15.08,-0.31,-2.0557,1.5791,155329086.0,2293104602.0,169000000000.0,145000000000.0
2015-1-13,0.152024,0.381589,0.6184109999999999,-0.08741597400000084,1.0,14.68,14.9,14.61,14.65,14.77,-0.09,-0.6093,0.8304,81687477.0,1204987149.0,168000000000.0,144000000000.0
2015-1-14,0.698624,0.13561900000000002,0.864381,0.9538783299999976,1.0,14.81,15.2,14.7,14.78,14.68,0.13,0.8856,1.284,126302964.0,1889296679.0,169000000000.0,146000000000.0
2015-1-15,0.43498000000000003,0.254259,0.745741,-1.3302378960000008,1.0,15.35,15.35,14.71,14.85,14.81,0.54,3.6462,1.2628,124217032.0,1868795910.0,175000000000.0,151000000000.0
2015-1-16,0.00959741,0.554319,0.4456810000000001,-3.275741282,1.0,15.37,15.62,15.18,15.4,15.35,0.02,0.1303,1.5817,155584633.0,2403346195.0,176000000000.0,151000000000.0
2015-1-19,0.981801,0.9918110000000001,0.00818949,-1.107949252,1.0,13.83,14.57,13.83,14.01,15.37,-1.54,-10.0195,2.1726,213712366.0,3016203087.0,158000000000.0,136000000000.0
2015-1-20,0.996669,0.00149891,0.998501,-0.4960976860000006,1.0,13.83,14.06,13.56,13.83,13.83,0.0,0.0,1.5158,149101811.0,2064280555.0,158000000000.0,136000000000.0
2015-1-21,0.942041,0.0260817,0.9739180000000001,1.264666813999999,1.0,14.42,14.6,13.75,13.88,13.83,0.59,4.2661,1.9727,194053037.0,2758192757.0,165000000000.0,142000000000.0
2015-1-22,,,,-1.774158378,,14.3,14.52,14.16,14.34,14.42,-0.12,-0.8322,1.2758,125501611.0,1801436255.0,163000000000.0,141000000000.0
2015-1-23,0.0929665,0.45464799999999994,0.5453520000000001,-1.6427160219999997,1.0,14.4,14.63,14.3,14.36,14.3,0.1,0.6993,1.4834,145918192.0,2108746796.0,165000000000.0,142000000000.0
2015-1-26,0.9870629999999999,0.0058216,0.9941780000000001,0.4422088219999989,1.0,14.34,14.44,14.16,14.36,14.4,-0.06,-0.4167,1.0752,105760580.0,1508446593.0,164000000000.0,141000000000.0
2015-1-27,0.37401599999999996,0.28169299999999997,0.7183069999999999,-0.3934953300000005,1.0,13.99,14.37,13.83,14.35,14.34,-0.35,-2.4407,1.3617,133949466.0,1881058965.0,160000000000.0,138000000000.0
2015-1-28,0.9837870000000001,0.00729566,0.9927040000000001,0.7055372899999984,1.0,14.06,14.3,13.8,13.87,13.99,0.07,0.5004,1.2615,124087755.0,1742175736.0,161000000000.0,138000000000.0
2015-1-29,0.168282,0.625727,0.374273,-2.5868833700000007,1.0,13.9,14.01,13.75,13.82,14.06,-0.16,-1.138,1.0336,101675329.0,1408825356.0,159000000000.0,137000000000.0
2015-1-30,0.791054,0.09402569999999999,0.905974,-0.5519851860000001,1.0,13.93,14.12,13.76,13.93,13.9,0.03,0.2158,0.9456,93011669.0,1298735719.0,159000000000.0,137000000000.0
