ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2016-12-30,'000858,Îå Á¸ Òº,34.48,34.64,33.89,34.03,33.85,0.63,1.8612,0.6112,23201908,797104500.48,1.30884932506e+11,1.30884932506e+11
2016-12-29,'000858,Îå Á¸ Òº,33.85,34.08,33.77,33.91,33.91,-0.06,-0.1769,0.2906,11029684,373576291.33,1.28493473472e+11,1.28493473472e+11
2016-12-28,'000858,Îå Á¸ Òº,33.91,34.46,33.86,34.31,34.34,-0.43,-1.2522,0.3269,12407956,422777020.13,1.28721231475e+11,1.28721231475e+11
2016-12-27,'000858,Îå Á¸ Òº,34.34,34.67,34.3,34.4,34.35,-0.01,-0.0291,0.3118,11835392,408056594.48,1.30353497165e+11,1.30353497165e+11
2016-12-26,'000858,Îå Á¸ Òº,34.35,34.35,33.65,34.15,34.42,-0.07,-0.2034,0.5186,19686074,669150102.84,1.30391456832e+11,1.30391456832e+11
2016-12-23,'000858,Îå Á¸ Òº,34.42,35.44,34.42,35.44,35.41,-0.99,-2.7958,0.6128,23261965,809628917.89,1.30657174502e+11,1.30657174502e+11
2016-12-22,'000858,Îå Á¸ Òº,35.41,35.78,35.3,35.63,35.63,-0.22,-0.6175,0.2676,10159827,360125900.7,1.34415181555e+11,1.34415181555e+11
2016-12-21,'000858,Îå Á¸ Òº,35.63,35.85,35.5,35.55,35.4,0.23,0.6497,0.3376,12815520,456793170.9,1.35250294234e+11,1.35250294234e+11
2016-12-20,'000858,Îå Á¸ Òº,35.4,35.99,35.3,35.9,36.01,-0.61,-1.694,0.6411,24335977,866628502.17,1.34377221888e+11,1.34377221888e+11
2016-12-19,'000858,Îå Á¸ Òº,36.01,36.48,35.53,35.53,35.45,0.56,1.5797,0.8493,32238108,1164584517.59,1.36692761587e+11,1.36692761587e+11
2016-12-16,'000858,Îå Á¸ Òº,35.45,35.58,34.98,35.4,35.34,0.11,0.3113,0.4018,15251903,538382827.06,1.34567020224e+11,1.34567020224e+11
2016-12-15,'000858,Îå Á¸ Òº,35.34,36.14,35.01,35.7,35.47,-0.13,-0.3665,0.8335,31641103,1124019814.76,1.34149463885e+11,1.34149463885e+11
2016-12-14,'000858,Îå Á¸ Òº,35.47,36.2,35.4,36.18,36.26,-0.79,-2.1787,0.7138,27093755,969025281.45,1.34642939558e+11,1.34642939558e+11
2016-12-13,'000858,Îå Á¸ Òº,36.26,36.44,35.24,35.4,35.57,0.69,1.9398,0.8826,33502238,1206150218.91,1.37641753267e+11,1.37641753267e+11
2016-12-12,'000858,Îå Á¸ Òº,35.57,37.39,35.34,36.8,36.66,-1.09,-2.9733,0.9486,36006898,1303171999.66,1.3502253623e+11,1.3502253623e+11
2016-12-09,'000858,Îå Á¸ Òº,36.66,37.09,36.52,36.7,36.8,-0.14,-0.3804,0.6416,24353697,895319074.77,1.39160139955e+11,1.39160139955e+11
2016-12-08,'000858,Îå Á¸ Òº,36.8,37.68,35.98,36.29,36.2,0.6,1.6575,1.2797,48575442,1792908890.35,1.39691575296e+11,1.39691575296e+11
2016-12-07,'000858,Îå Á¸ Òº,36.2,36.41,35.9,36.35,36.17,0.03,0.0829,0.546,20726242,747998729.63,1.37413995264e+11,1.37413995264e+11
2016-12-06,'000858,Îå Á¸ Òº,36.17,36.25,35.54,35.66,35.54,0.63,1.7727,0.7561,28702950,1032222665.46,1.37300116262e+11,1.37300116262e+11
2016-12-05,'000858,Îå Á¸ Òº,35.54,36.48,35.11,35.11,35.75,-0.21,-0.5874,0.8786,33351008,1196856761.92,1.34908657229e+11,1.34908657229e+11
2016-12-02,'000858,Îå Á¸ Òº,35.75,36.25,35.5,36.02,36.17,-0.42,-1.1612,0.6423,24382315,873578722.9,1.3570581024e+11,1.3570581024e+11
2016-12-01,'000858,Îå Á¸ Òº,36.17,36.65,35.67,36.13,35.93,0.24,0.668,0.901,34202902,1233479440.41,1.37300116262e+11,1.37300116262e+11
2016-11-30,'000858,Îå Á¸ Òº,35.93,37.07,35.85,36.45,36.72,-0.79,-2.1514,1.038,39402942,1426043941.22,1.3638908425e+11,1.3638908425e+11
2016-11-29,'000858,Îå Á¸ Òº,36.72,37.57,35.44,35.48,35.47,1.25,3.5241,1.9311,73303062,2696389330.19,1.39387897958e+11,1.39387897958e+11
2016-11-28,'000858,Îå Á¸ Òº,35.47,36.17,35.45,35.6,35.17,0.3,0.853,0.8989,34121808,1218097474.92,1.34642939558e+11,1.34642939558e+11
2016-11-25,'000858,Îå Á¸ Òº,35.17,35.43,34.75,35.15,35.15,0.02,0.0569,0.4381,16629465,582609075.31,1.33504149542e+11,1.33504149542e+11
2016-11-24,'000858,Îå Á¸ Òº,35.15,35.45,34.63,34.95,35.05,0.1,0.2853,0.9197,34910115,1223478599.25,1.33428230208e+11,1.33428230208e+11
