日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'600050,中国联通,7.31,7.6,7.22,7.6,7.54,-0.23,-3.0504,1.3873,294062173,2186000654.0,1.54947119647e+11,1.54947119647e+11
2016-12-29,'600050,中国联通,7.54,7.72,7.47,7.62,7.69,-0.15,-1.9506,1.0342,219205638,1660867152.0,1.59822336818e+11,1.59822336818e+11
2016-12-28,'600050,中国联通,7.69,7.7,7.4,7.51,7.55,0.14,1.8543,1.3363,283246727,2136018983.0,1.63001826278e+11,1.63001826278e+11
2016-12-27,'600050,中国联通,7.55,7.91,7.44,7.84,7.81,-0.26,-3.3291,2.0194,428036438,3266973146.0,1.60034302782e+11,1.60034302782e+11
2016-12-26,'600050,中国联通,7.81,7.96,7.61,7.7,7.81,0.0,0.0,1.594,337864773,2636181792.0,1.65545417845e+11,1.65545417845e+11
2016-12-23,'600050,中国联通,7.81,8.05,7.6,7.7,7.68,0.13,1.6927,2.8874,612022035,4805894741.0,1.65545417845e+11,1.65545417845e+11
2016-12-22,'600050,中国联通,7.68,7.7,7.26,7.32,7.37,0.31,4.2062,2.3988,508453603,3791751005.0,1.62789860314e+11,1.62789860314e+11
2016-12-21,'600050,中国联通,7.37,7.7,7.07,7.15,7.1,0.27,3.8028,3.3216,704067805,5236878849.0,1.56218915431e+11,1.56218915431e+11
2016-12-20,'600050,中国联通,7.1,7.12,6.7,6.87,6.86,0.24,3.4985,1.881,398704242,2781389698.0,1.50495834404e+11,1.50495834404e+11
2016-12-19,'600050,中国联通,6.86,7.09,6.82,6.94,6.79,0.07,1.0309,1.2217,258966578,1797653971.0,1.4540865127e+11,1.4540865127e+11
2016-12-16,'600050,中国联通,6.79,6.95,6.7,6.7,6.74,0.05,0.7418,1.2483,264593091,1808562960.0,1.43924889522e+11,1.43924889522e+11
2016-12-15,'600050,中国联通,6.74,6.84,6.56,6.65,6.85,-0.11,-1.6058,1.7519,371336587,2490608721.0,1.42865059702e+11,1.42865059702e+11
2016-12-14,'600050,中国联通,6.85,7.42,6.83,7.13,7.23,-0.38,-5.2559,3.1554,668827681,4785520683.0,1.45196685306e+11,1.45196685306e+11
2016-12-13,'600050,中国联通,7.23,7.26,6.68,6.72,6.81,0.42,6.1674,2.4304,515162776,3596980602.0,1.53251391936e+11,1.53251391936e+11
